Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,18653.12,223837.44,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Primary,US East (N. Virginia),Increased_Cost_Estimate_RegionA,Amazon Cognito,0,2574.25,30891,USD,,"Advanced security features (Enabled), Number of monthly active users (MAU) (50000)"
Primary,US East (N. Virginia),Increased_Cost_Estimate-CloudFront,Amazon CloudFront,0,20.5,246,USD,,"Data transfer out to internet (100 GB per month), Data transfer out to origin (100 GB per month), Number of requests (HTTPS) (10000000 per month)"
Primary,US East (N. Virginia),Increased_Cost_Estimate-Route53,Amazon Route 53,0,103,1236,USD,,Hosted Zones (2)
Primary,US East (N. Virginia),Increased_Cost_Estimate,S3 Standard,0,235.52,2826.24,USD,,S3 Standard storage (10 TB per month)
Primary,US East (N. Virginia),Increased_Cost_Estimate,Data Transfer,0,10.24,122.88,USD,,"DT Inbound: All other regions (1 TB per month), DT Outbound: US East (Ohio) (1 TB per month)"
Primary,US East (N. Virginia),VPC_us-east-1,VPN Connection,0,667,8004,USD,,"Working days per month (30), Number of subnet associations (4)"
Primary,US East (N. Virginia),VPC_us-east-1,Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,,Number of NAT Gateways (2)
Primary,US East (N. Virginia),Increased_Cost_Estimate-WebServer,Amazon EC2 ,0,2912.598,34951.18,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Weekly, Baseline: 4, Peak: 6, Duration of peak: 4 Day 0 Hr 0 Min), Advance EC2 instance (m7g.8xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (enabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Primary,US East (N. Virginia),Increased_Cost_Estimate-WebServer,Amazon EC2 ,0,2912.598,34951.18,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Weekly, Baseline: 4, Peak: 6, Duration of peak: 4 Day 0 Hr 0 Min), Advance EC2 instance (m7g.8xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (enabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Primary,US East (N. Virginia),Primary Elastic IPs,Amazon Elastic IP,0,65.94,791.28,USD,,"Number of EC2 instances (6), Number of EIPs per instance (4)"
,,,,,,,,,
Redundancy,US East (Ohio),WebServer-Redundancy,Amazon EC2 ,0,2899.998,34799.98,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Weekly, Baseline: 4, Peak: 6, Duration of peak: 4 Day 0 Hr 0 Min), Advance EC2 instance (m7g.8xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
